Gender,Male,Minority,Age,GPA,Verbal,Math,TotSAT,SSH.total,BStotal,CTA.tot,PTTtotal,PTT.factor1,PTT.factor2,PTT.factor3,Perf.CM,Perf.D,Perf.PE,Perf.PC,Perf.PS,Perf.O,harvey.negproj,harvey.achexp,harvey.parinf,harvey.org,stoeberORG,stoeberCMD,stoeberPEC,stoeberPS,Harvey4f
2,1,1,20,3.35,560,520,1080,30,11, ,37,23,10,4,26,8,21,9,34,29,29,39,30,29,29,29,30,34,3
1,0,1,20,2.9,400,550,950,26,18,48,40,25,8,7,22,7,11,4,25,24,25,29,15,24,24,25,15,24,2
2,1,1,20,2.71, , , ,22,10,27,43,28,9,6,21,8,13,4,25,17,27,27,17,17,17,27,17,23,2
1,0,1,20,3.7,490,670,1160,29,11,29,33,19,10,4,23,9,13,8,23,23,29,26,21,23,23,29,21,22,1
2,1,1,20,2.9, , , , ,17,31,53,29,15,9,22,11,15,8,25,18,30,28,23,18,18,30,23,24,1
2,1,1,22,3.595,450,500,950,24,11, , ,26, ,4,11,11,9,4,24,25,20,26,13,25,25,20,13,22,2
2,1,1,20,3.077, , , ,20, ,38,60,33,7,20, ,17,19,14,34,24, ,39,33,24,24, ,33,34, 
2,1,1,19,2.7, , , ,20,27,39,50,26,14,10,22,15,12,12,18,14,35,20,24,14,14,35,24,17,1
2,1,1,23,2.25,450,600,1050,8,22,51,48,28,14,6,36,9,12,10,32,29,40,37,22,29,29,40,22,33,3
2,1,1,20,3.66,520,610,1130,26,10,28,39,25,9,5,21,14,16,6,27,24,30,32,22,24,24,30,22,27,3
1,0,1,20,3.5, , , ,21,12,24,36,21,10,5,27,10,14,12,22,24,34,25,26,24,24,34,26,21,1
2,1,1,20,2.9,500,550,1050,22,12,33,31,17,10,4,21,11,20,13,25,24,29,28,33,24,24,29,33,24,1
2,1,1,23,3, , , ,25,26,54,45,27,12,6,38,16,16,11,26,30,50,30,27,30,30,50,27,26,4
2,1,1,29,3.9, , , ,18,10,33, , ,7,17,36,15,21,16,32,27,46,37,37,27,27,46,37,35,4
1,0,1,19,1.9, , , ,23,24,52,52,29,16,7,27,11,19,11,24,21,34,28,30,21,21,34,30,24,1
2,1,1,20,3.3, , , ,28,12,33,41,25,10,6,31,10,22,13,29,28,37,33,35,28,28,37,35,29,4
1,0,1,30,2.5,350,250,600,29,30,60,46,26,12,8,36,13,19,16,27,22,45,31,35,22,22,45,35,27,4
1,0,1,20,3,300,320,620,23,24,46,66,36,17,13,13,12,11,5,25,24,24,26,16,24,24,24,16,22,2
1,0,1,20,2.5,420,210,630,17,22,44,57,28,16,13,18,13,18,8,21,27,29,23,26,27,27,29,26,20,1
2,1,0,22,2.15,325,325,650,21,12,42,55,32,16,7,15,13,16,6,25,23,25,28,22,23,23,25,22,24,2
1,0,0,21,3.3,400,340,740,14,26,36,73,40,21,12,20,11,20,18,19,24,27,23,38,24,24,27,38,20,1
2,1,1,21,2.334,350,400,750,25,11,34,41,26,10,5,20,13,13,6,27,24,32,28,19,24,24,32,19,24,3
1,0,1,21,2.45,320,470,790,21,11,42,56,34,11,11,22,14,11,8,17,22,33,20,19,22,22,33,19,17,1
1,0,1,20,3.2,450,360,810,17,15,51,57,34,15,8,17,12,9,5,19,24,27,21,14,24,24,27,14,18,2
1,0,1,21,3,400,425,825,27,15,37,44,29,10,5,15,12,11,8,25,28,25,27,19,28,28,25,19,23,2
2,1,1,22,2.7,390,440,830,17,22,51,67,37,19,11,36,14,22,15,24,29,46,28,37,29,29,46,37,25,4
2,1,1,20,2.8,420,420,840,21,23,57,52,28,15,9,24,8,10,5,30,28,28,34,15,28,28,28,15,30,3
1,0,1,19,3.3,410,430,840,16,20,48,55,25,19,11,27,13,19,11,24,30,36,28,30,30,30,36,30,24,4
2,1,0,21,3.1,420,420,840,27,13,28,50,29,9,12,27,6,18,5,28,27,29,32,23,27,27,29,23,27,3
1,0,1,31,3.8,425,425,850,26,12,31,54,31,14,9,26,11,13,15,34,27,33,38,28,27,27,33,28,33,3
2,1,1,37,2.7,420,430,850,23,15,56, , ,8,13,34,8,15,7,34,30,38,38,22,30,30,38,22,34,3
1,0,1,19,3.2,440,420,860,27,15,42,57,35,14,8,18,8,13,5,19,26,23,22,18,26,26,23,18,18,2
1,0,1,21,3.822,460,400,860,27,16,42,51,34,12,5,17,11,16,4,28,24,24,32,20,24,24,24,20,27,3
1,0,1,18,3,430,440,870,10,29,52,68,37,21,10,29,16,19,8,27,22,41,31,27,22,22,41,27,27,4
1,0,1,19,3.5,400,470,870,12,34,68,79,40,24,15,33,11,11, , ,9,39, , ,9,9,39, , , 
1,0,1,24,2,400,475,875,27,14,44,52,32,12,8,21,10,17,15,23,20,28,26,32,20,20,28,32,22,1
2,1,1,21,2.5,350,530,880,18,17, ,47,28,13,6,24,10,21,9,21,17,31,24,30,17,17,31,30,22,1
2,1,1,22,3.576,320,560,880,14,23,47,56,34,17,5,24,15,13,6,30,30,34,35,19,30,30,34,19,31,3
1,0,1,21,2.9,440,440,880,18,21,38,45,24,14,7,23,13,15,11,20,20,34,22,26,20,20,34,26,20,1
1,0,1,19,2.6,450,440,890,26,11,33,43,25,12,6,20,9,13,7,19,24,27,21,20,24,24,27,20,18,2
1,0,1,21,3.2,420,470,890,23,10,32,48,22,16,10,19,12,14,5,26,18,27,30,19,18,18,27,19,26,2
2,1,1,20,2.5,440,450,890,28,10,37,49,24,17,8,25,10,10,4,29,27,31,33,14,27,27,31,14,28,3
1,0,1,20,3.1,420,470,890, ,15,50,62,33,16,13,17,12,11,5,26,30,26,29,16,30,30,26,16,25,3
2,1,1,20,3,500,400,900,20,23,32,39,26,9,4,21,14,14,8,19,23,32,22,22,23,23,32,22,20,1
2,1,0,22,2.5,450,450,900,25,10, ,37,21,11,5,27,12,15,12,26,19,36,29,27,19,19,36,27,25,1
1,0,1,21,3.496,450,450,900,31,17,24,51,26,5,20,13,6,15,5,27,30,17,29,20,30,30,17,20,24,2
2,1,0,23,3.4,460,440,900,23,21,38,46,21,14,11,21,9,13,5,22,21,27,25,18,21,21,27,18,21,2
1,0,1,19, ,450,450,900,22,10,20,38,24,10,4,22,8,16,4,26,29,26,30,20,29,29,26,20,26,3
1,0,1,20,2.8,450,450,900,20,10,33,56,26,18,12,20,14,13,9,19,20,31,22,22,20,20,31,22,18,1
1,0,1,18, ,450,450,900,18,17,46,72,38,21,13,23,12,11,4, ,15,33, ,15,15,15,33,15, , 
1,0,0,20,3.2,450,450,900, , ,39, , ,18,8,28,12,9,8,29,30,36,33,17,30,30,36,17,29,3
1,0,1,19,3.705,480,420,900,14,11,49,52,23,16,13,28,17,15,10,26,23,41,30,25,23,23,41,25,25,4
1,0,1,23,3.5,450,450,900,19,10,24,58,28,18,12,26,14,16,10,14,16,38,16,26,16,16,38,26,14,1
1,0,0,21,2.8,500,400,900,23,13,31,52,28,15,9,11,5,13,4,16,22,15,17,17,22,22,15,17,13,2
1,0,1,21,3.6,450,450,900,28,14,27,40,21,11,8,17,12,12,11,21,26,27,23,23,26,26,27,23,21,2
